Fin-stmt_Etat-consolide_eng,Fin-stmt_Etat-consolide_fra,Section-lvl1_niv1_eng,Section-lvl1_niv1_fra,Section-lvl2_niv2_eng,Section-lvl2_niv2_fra,Section-lvl3_niv3_eng,Section-lvl3_niv3_fra,Section-lvl4_niv4_eng,Section-lvl4_niv4_fra,Type-detail_eng,Type-detail_fra,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,2024/2025,Amt-units_Mnt-unite
"Consolidated Statement of Foreign Exchange, Unmatured Debt and Cash Transactions—detailed","État consolidé des opérations de change, de la dette non échue et des opérations en espèces – détaillé",Foreign exchange accounts Liabilities,Comptes d'opérations de change,International Monetary Fund,Fonds monétaire international,Special drawing rights allocations,Allocations de droits de tirages spéciaux,,,,,-493,150,-409,107,-396,840,-17945,-1489,430,-1973,x1000000
"Consolidated Statement of Foreign Exchange, Unmatured Debt and Cash Transactions—detailed","État consolidé des opérations de change, de la dette non échue et des opérations en espèces – détaillé",Foreign exchange accounts Liabilities,Comptes d'opérations de change,International Monetary Fund,Fonds monétaire international,Notes payable,Effets à payer,,,,,-9370,250,-617,1300,243,3023,490,-411,-385,-1303,x1000000
"Consolidated Statement of Foreign Exchange, Unmatured Debt and Cash Transactions—detailed","État consolidé des opérations de change, de la dette non échue et des opérations en espèces – détaillé",Unmatured debt,Dette non échue,Payable in Canadian currency,Payable en monnaie canadienne,Marketable bonds,Obligations négociables,,,,,16553,32366,37119,-6373,27511,285498,154103,1757,42689,81711,x1000000
"Consolidated Statement of Foreign Exchange, Unmatured Debt and Cash Transactions—detailed","État consolidé des opérations de change, de la dette non échue et des opérations en espèces – détaillé",Unmatured debt,Dette non échue,Payable in Canadian currency,Payable en monnaie canadienne,Treasury bills,Bons du Trésor,,,,,2533,-1430,-26200,23291,17730,67379,-31787,12022,64084,19269,x1000000
"Consolidated Statement of Foreign Exchange, Unmatured Debt and Cash Transactions—detailed","État consolidé des opérations de change, de la dette non échue et des opérations en espèces – détaillé",Unmatured debt,Dette non échue,Payable in Canadian currency,Payable en monnaie canadienne,Retail debt,Titres au détail,,,,,-584,-543,-1947,-1349,-740,-198,-299,0,0,0,x1000000
"Consolidated Statement of Foreign Exchange, Unmatured Debt and Cash Transactions—detailed","État consolidé des opérations de change, de la dette non échue et des opérations en espèces – détaillé",Unmatured debt,Dette non échue,Payable in foreign currencies,Payable en devises,,,,,,,2221,-4872,-1537,-21,-86,-513,-996,1561,5212,8311,x1000000
"Consolidated Statement of Foreign Exchange, Unmatured Debt and Cash Transactions—detailed","État consolidé des opérations de change, de la dette non échue et des opérations en espèces – détaillé",Unmatured debt,Dette non échue,Obligation related to capital leases,Obligation découlant de contrats de location-acquisition,,,,,,,-233,-251,-23,-310,20,-205,78,-240,-180,-178,x1000000
"Consolidated Statement of Foreign Exchange, Unmatured Debt and Cash Transactions—detailed","État consolidé des opérations de change, de la dette non échue et des opérations en espèces – détaillé",Unmatured debt,Dette non échue,Obligation under public-private partnership,Obligation en vertu des partenariats public-privé,,,,,,,565,629,194,1118,-921,-59,50,-17,-23,-48,x1000000
"Consolidated Statement of Foreign Exchange, Unmatured Debt and Cash Transactions—detailed","État consolidé des opérations de change, de la dette non échue et des opérations en espèces – détaillé",Cash and cash equivalents at end of year,Trésorerie et équivalents de trésorerie à la fin de l'exercice,In Canadian currency,En monnaie canadienne,,,,,,,36022,35353,34110,36840,36400,63685,100166,47891,73809,52423,x1000000
"Consolidated Statement of Foreign Exchange, Unmatured Debt and Cash Transactions—detailed","État consolidé des opérations de change, de la dette non échue et des opérations en espèces – détaillé",Cash and cash equivalents at end of year,Trésorerie et équivalents de trésorerie à la fin de l'exercice,In foreign currencies,En devises,,,,,,,2548,1147,532,795,842,416,656,1115,1250,1686,x1000000
