Fin-stmt_Etat-consolide_eng,Fin-stmt_Etat-consolide_fra,Section-lvl1_niv1_eng,Section-lvl1_niv1_fra,Section-lvl2_niv2_eng,Section-lvl2_niv2_fra,Section-lvl3_niv3_eng,Section-lvl3_niv3_fra,Section-lvl4_niv4_eng,Section-lvl4_niv4_fra,Type-detail_eng,Type-detail_fra,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,2024/2025,Amt-units_Mnt-unite
Consolidated Statement of Financial Position—detailed,État consolidé de la situation financière – détaillé,Liabilities,Passifs,Interest-bearing debt,Dette portant intérêt,Unmatured debt,Dette non échue,Obligation related to capital leases,Obligation découlant de contrats de location-acquisition,,,3477,3226,3203,2893,2913,2708,2786,2546,2366,2188,x1000000
Consolidated Statement of Financial Position—detailed,État consolidé de la situation financière – détaillé,Liabilities,Passifs,Interest-bearing debt,Dette portant intérêt,Unmatured debt,Dette non échue,Obligation under public-private partnership,Obligation en vertu des partenariats public-privé,,,1570,2199,2393,3511,2590,2531,2581,2564,2541,2493,x1000000
Consolidated Statement of Financial Position—detailed,État consolidé de la situation financière – détaillé,Liabilities,Passifs,Interest-bearing debt,Dette portant intérêt,Pensions and other future benefits,Régimes de retraite et autres avantages futurs,Public sector pensions,Régimes de retraite du secteur public,,,170681,171447,170914,168782,168596,168761,167666,166425,165354,162746,x1000000
Consolidated Statement of Financial Position—detailed,État consolidé de la situation financière – détaillé,Liabilities,Passifs,Interest-bearing debt,Dette portant intérêt,Pensions and other future benefits,Régimes de retraite et autres avantages futurs,Other employee and veteran future benefits,Autres avantages futurs des employés et des anciens combattants,,,85681,93568,104793,113862,126378,144186,159705,177949,196350,213667,x1000000
Consolidated Statement of Financial Position—detailed,État consolidé de la situation financière – détaillé,Liabilities,Passifs,Interest-bearing debt,Dette portant intérêt,Canada Pension Plan Account,Compte du Régime de pensions du Canada,,,,,35,106,32,163,279,139,101,306,159,465,x1000000
Consolidated Statement of Financial Position—detailed,État consolidé de la situation financière – détaillé,Liabilities,Passifs,Interest-bearing debt,Dette portant intérêt,Other liabilities,Autres passifs,,,,,5567,5583,5638,5742,5772,6572,7606,7033,6804,6566,x1000000
Consolidated Statement of Financial Position—detailed,État consolidé de la situation financière – détaillé,Liabilities,Passifs,Foreign exchange accounts liabilities,Comptes d'opérations de change passifs,,,,,,,29288,28888,29914,28507,28660,24797,42252,44151,44106,47697,x1000000
Consolidated Statement of Financial Position—detailed,État consolidé de la situation financière – détaillé,Liabilities,Passifs,Derivatives,Dérivés,,,,,,,9232,9419,8786,8265,11331,3245,2471,4689,4131,5583,x1000000
Consolidated Statement of Financial Position—detailed,État consolidé de la situation financière – détaillé,Financial assets,Actifs financiers,Cash and accounts receivable,Trésorerie et créances,Cash and cash equivalents,Trésorerie et équivalents de trésorerie,,,,,38570,36500,34642,37635,37242,64101,100822,49006,75059,54109,x1000000
Consolidated Statement of Financial Position—detailed,État consolidé de la situation financière – détaillé,Financial assets,Actifs financiers,Cash and accounts receivable,Trésorerie et créances,Taxes receivable,Impôts à recevoir,,,,,105848,110514,123035,127561,121098,142023,167588,180982,203045,213657,x1000000
